NumberPeople,NumberItems,ConsistentPercent
36,10,0.095
41,10,0.02
46,10,0.075
52,10,0.095
58,10,0.075
65,10,0.005
74,10,0.06
83,10,0.005
93,10,0.005
105,10,0.01
118,10,0.035
133,10,0.005
150,10,0.075
169,10,0.015
190,10,0.025
214,10,0.02
241,10,0.01
271,10,0.02
306,10,0.03
344,10,0.02
387,10,0.02
436,10,0.025
491,10,0
553,10,0.005
622,10,0.02
701,10,0.005
789,10,0.015
888,10,0.02
1000,10,0.03
3,11,0.035
4,11,0.925
5,11,0.005
6,11,0.545
7,11,0.005
8,11,0.42
9,11,0.01
10,11,0.325
11,11,0.02
12,11,0.17
14,11,0.195
16,11,0.145
18,11,0.145
20,11,0.135
23,11,0.005
25,11,0.005
29,11,0.005
32,11,0.045
36,11,0.08
41,11,0
46,11,0.025
52,11,0.055
58,11,0.02
65,11,0
74,11,0.04
83,11,0.01
93,11,0.01
105,11,0.005
118,11,0.02
133,11,0.015
150,11,0.015
169,11,0.005
190,11,0.02
214,11,0.01
241,11,0.005
271,11,0
306,11,0.015
344,11,0.005
387,11,0.005
436,11,0.005
491,11,0
553,11,0
622,11,0
701,11,0
789,11,0
888,11,0.015
1000,11,0
3,13,0
4,13,0.835
5,13,0.005
6,13,0.415
7,13,0
8,13,0.28
9,13,0.005
10,13,0.12
11,13,0
12,13,0.075
14,13,0.075
16,13,0.05
18,13,0.035
20,13,0.025
23,13,0
25,13,0
29,13,0
32,13,0.005
36,13,0
41,13,0.005
46,13,0.005
52,13,0.005
58,13,0.005
65,13,0
74,13,0
83,13,0
93,13,0.005
105,13,0
118,13,0.005
133,13,0
150,13,0
169,13,0
190,13,0
214,13,0
241,13,0
271,13,0
306,13,0
344,13,0.005
387,13,0
436,13,0.005
491,13,0
553,13,0
622,13,0
701,13,0
789,13,0
888,13,0.005
1000,13,0
3,14,0.005
4,14,0.765
5,14,0.005
6,14,0.315
7,14,0
8,14,0.13
9,14,0
10,14,0.075
11,14,0
12,14,0.045
14,14,0.015
16,14,0.04
18,14,0.035
20,14,0.005
23,14,0
25,14,0
29,14,0
32,14,0.01
36,14,0
41,14,0
46,14,0.005
52,14,0
58,14,0
65,14,0
74,14,0
83,14,0
93,14,0
105,14,0
118,14,0.005
133,14,0
150,14,0
169,14,0
190,14,0.005
214,14,0
241,14,0
271,14,0
306,14,0
344,14,0
387,14,0
436,14,0
491,14,0
553,14,0
622,14,0
701,14,0
789,14,0
888,14,0
1000,14,0
3,16,0.01
4,16,0.69
5,16,0
6,16,0.16
7,16,0
8,16,0.045
9,16,0
10,16,0.03
11,16,0
12,16,0.03
14,16,0.02
16,16,0
18,16,0.01
20,16,0
23,16,0
25,16,0
29,16,0
32,16,0
36,16,0
41,16,0
46,16,0
52,16,0
58,16,0
65,16,0
74,16,0
83,16,0
93,16,0
105,16,0
118,16,0
133,16,0
150,16,0
169,16,0
190,16,0
214,16,0
241,16,0
271,16,0
306,16,0
344,16,0
387,16,0
436,16,0
491,16,0
553,16,0
622,16,0
701,16,0
789,16,0
888,16,0
1000,16,0
3,18,0
4,18,0.61
5,18,0
6,18,0.095
7,18,0
8,18,0.035
9,18,0
10,18,0
11,18,0
12,18,0
14,18,0
16,18,0
18,18,0
20,18,0
23,18,0
25,18,0
29,18,0
32,18,0
36,18,0
41,18,0
46,18,0
52,18,0
58,18,0
65,18,0
74,18,0
83,18,0
93,18,0
105,18,0
118,18,0
133,18,0
150,18,0
169,18,0
190,18,0
214,18,0
241,18,0
271,18,0
306,18,0
344,18,0
387,18,0
436,18,0
491,18,0
553,18,0
622,18,0
701,18,0
789,18,0
888,18,0
1000,18,0
3,21,0
4,21,0.425
5,21,0
6,21,0.02
7,21,0
8,21,0
9,21,0
10,21,0
11,21,0
12,21,0
14,21,0
16,21,0
18,21,0
20,21,0
23,21,0
25,21,0
29,21,0
32,21,0
36,21,0
41,21,0
46,21,0
52,21,0
58,21,0
65,21,0
74,21,0
83,21,0
93,21,0
105,21,0
118,21,0
133,21,0
150,21,0
169,21,0
190,21,0
214,21,0
241,21,0
271,21,0
306,21,0
344,21,0
387,21,0
436,21,0
491,21,0
553,21,0
622,21,0
701,21,0
789,21,0
888,21,0
1000,21,0
3,23,0
4,23,0.345
5,23,0
6,23,0
7,23,0
8,23,0.005
9,23,0
10,23,0
11,23,0
12,23,0
14,23,0
16,23,0
18,23,0
20,23,0
23,23,0
25,23,0
29,23,0
32,23,0
36,23,0
41,23,0
46,23,0
52,23,0
58,23,0
65,23,0
74,23,0
83,23,0
93,23,0
105,23,0
118,23,0
133,23,0
150,23,0
169,23,0
190,23,0
214,23,0
241,23,0
271,23,0
306,23,0
344,23,0
387,23,0
436,23,0
491,23,0
553,23,0
622,23,0
701,23,0
789,23,0
888,23,0
1000,23,0
3,26,0
4,26,0.14
5,26,0
6,26,0
7,26,0
8,26,0
9,26,0
10,26,0
11,26,0
12,26,0
14,26,0
16,26,0
18,26,0
20,26,0
23,26,0
25,26,0
29,26,0
32,26,0
36,26,0
41,26,0
46,26,0
52,26,0
58,26,0
65,26,0
74,26,0
83,26,0
93,26,0
105,26,0
118,26,0
133,26,0
150,26,0
169,26,0
190,26,0
214,26,0
241,26,0
271,26,0
306,26,0
344,26,0
387,26,0
436,26,0
491,26,0
553,26,0
622,26,0
701,26,0
789,26,0
888,26,0
1000,26,0
3,30,0
4,30,0.025
5,30,0
6,30,0
7,30,0
8,30,0
9,30,0
10,30,0
11,30,0
12,30,0
14,30,0
16,30,0
18,30,0
20,30,0
23,30,0
25,30,0
29,30,0
32,30,0
36,30,0
41,30,0
46,30,0
52,30,0
58,30,0
65,30,0
74,30,0
83,30,0
93,30,0
105,30,0
118,30,0
133,30,0
150,30,0
169,30,0
190,30,0
214,30,0
241,30,0
271,30,0
306,30,0
344,30,0
387,30,0
436,30,0
491,30,0
553,30,0
622,30,0
701,30,0
789,30,0
888,30,0
1000,30,0
3,34,0
4,34,0.02
5,34,0
6,34,0
7,34,0
8,34,0
9,34,0
10,34,0
11,34,0
12,34,0
14,34,0
16,34,0
18,34,0
20,34,0
23,34,0
25,34,0
29,34,0
32,34,0
36,34,0
41,34,0
46,34,0
52,34,0
58,34,0
65,34,0
74,34,0
83,34,0
93,34,0
105,34,0
118,34,0
133,34,0
150,34,0
169,34,0
190,34,0
214,34,0
241,34,0
271,34,0
306,34,0
344,34,0
387,34,0
436,34,0
491,34,0
553,34,0
622,34,0
701,34,0
789,34,0
888,34,0
1000,34,0
3,38,0
4,38,0.015
5,38,0
6,38,0
7,38,0
8,38,0
9,38,0
10,38,0
11,38,0
12,38,0
14,38,0
16,38,0
18,38,0
20,38,0
23,38,0
25,38,0
29,38,0
32,38,0
36,38,0
41,38,0
46,38,0
52,38,0
58,38,0
65,38,0
74,38,0
83,38,0
93,38,0
105,38,0
118,38,0
133,38,0
150,38,0
169,38,0
190,38,0
214,38,0
241,38,0
271,38,0
306,38,0
344,38,0
387,38,0
436,38,0
491,38,0
553,38,0
622,38,0
701,38,0
789,38,0
888,38,0
1000,38,0
3,43,0
4,43,0
5,43,0
6,43,0
7,43,0
8,43,0
9,43,0
10,43,0
11,43,0
12,43,0
14,43,0
16,43,0
18,43,0
20,43,0
23,43,0
25,43,0
29,43,0
32,43,0
36,43,0
41,43,0
46,43,0
52,43,0
58,43,0
65,43,0
74,43,0
83,43,0
93,43,0
105,43,0
118,43,0
